sg-01d025a33676aad27	SG-MYNT-MTC-SIT-DAIMOS-PUBLIC-DEF01
sg-0cb1f627a46da34ad	SG-MYNT-MTC-SIT-ATHENA-PUBLIC-DEF01
sg-04682499cf1d55b94	SG-MYNT-MTC-SIT-DATA-SERVICES-PUBLIC-DEF01
sg-058a11c46f3dac4b3	SG-MYNT-MTC-SIT-WHITECASTLE-WAF-PUBLIC-DEF01
sg-095228ca91cee6ef4	SG-MYNT-MTC-SIT-TOOLS-PUBLIC-DEF01
sg-0384b32860a9b76ba	SG-MYNT-MTC-SIT-WHITECASTLE-PUBLIC-DEF01
sg-0ab8bdee5155f4be8	SG-MYNT-MTC-SIT-WHITECASTLE-IMPERVA-PUBLIC-DEF01
sg-09dcc04b06b426be5	SG-MYNT-MTC-SIT-CHIHUAHUA-PUBLIC-DEF01
sg-0e1f98de3d6b334e8	SG-MYNT-MTC-SIT-ESB-PUBLIC-DEF01
sg-06fe4bab69f3cedaf	SG-MYNT-MTC-SIT-DATATRIBE-PUBLIC-DEF01
sg-04c2001759fdd0dd1	SG-MYNT-MTC-SIT-WHITECASTLE-PUBLIC-DEF01-CLONE
